순위,이름,총점,맛,재료,카테고리,나라
0,사골우거지탕,447.9897307,71.45093653,66.66666667,80,80
1,쇠고기무국,446.2484936,77.04500614,58.33333333,80,80
2,닭개장,444.2483763,75.84733113,58.33333333,80,80
3,곰탕,444.1990647,62.54435009,75,80,80
4,떡국,442.5528483,68.19531832,66.66666667,80,80
5,사골탕,433.1157313,62.54435009,66.66666667,80,80
6,도가니탕,426.0326325,64.93970011,58.33333333,80,80
7,선지국,424.0818269,77.04500614,41.66666667,80,80
8,갈비탕,418.3860643,66.99764331,50,80,80
9,토란곰탕,414.690419,58.14795549,58.33333333,80,80
10,맑은떡국,412.9491819,63.7420251,50,80,80
11,초교탕,412.8998702,50.43904406,66.66666667,80,80
12,꼬리곰탕,412.2133799,63.30142509,50,80,80
13,아구탕,411.0440853,62.60124871,50,80,80
14,설렁탕,410.9490647,62.54435009,50,80,80
15,근대된장국,409.2535366,54.89233728,58.33333333,80,80
16,두부국,405.6072029,59.34563049,50,80,80
17,대구탕,401.9151603,77.04500614,25,80,80
18,무맑은국,401.8658486,63.7420251,41.66666667,80,80
19,생태매운탕,400.8593601,63.1393374,41.66666667,80,80
20,배추속댓국,396.4746752,47.24032446,58.33333333,80,80
21,두부조개탕,396.2193977,66.99764331,33.33333333,80,80
22,홍합탕,387.0868699,54.89233728,41.66666667,80,80
23,삼계탕,387.0868699,54.89233728,41.66666667,80,80
24,북어국,385.3913418,47.24032446,50,80,80
25,맑은대구탕,385.1360643,66.99764331,25,80,80
26,조개맑은국,378.0036538,56.09001228,33.33333333,80,80
27,어묵꼬치,374.2622995,60.48640689,25,80,80
28,생태국,372.3572029,59.34563049,25,80,80
29,찬코나베,369.5187093,80.30062435,41.66666667,80,20
30,호박양파국,368.5665369,50.43904406,33.33333333,80,80
31,어묵국,366.9203205,56.09001228,25,80,80
32,미역국,364.9202032,54.89233728,25,80,80
33,미역냉국,363.714713,40.89703375,41.66666667,80,80
34,아욱국,361.2245579,46.04264945,33.33333333,80,80
35,유부미역된장국,359.5326325,64.93970011,8.333333333,80,80
36,시금치된장국,359.4833208,51.63671906,25,80,80
37,재첩국,357.5325152,63.7420251,8.333333333,80,80
38,우무콩냉국,356.7967132,63.30142509,8.333333333,80,80
39,양배춧국,355.7876755,42.78703124,33.33333333,80,80
40,다시마냉국,344.4720547,36.01121039,33.33333333,80,80
41,김치홍합국,341.0086968,33.93734342,33.33333333,80,80
42,홍합미역국,339.1072029,59.34563049,0,80,80
43,오이냉국,335.3761604,23.92784054,41.66666667,80,80
44,두부탕,332.7826325,64.93970011,33.33333333,80,20
45,잉어찜,324.297688,89.15031218,41.66666667,20,80
46,쇠고기완자찜,320.6020427,80.30062435,50,20,80
47,낙지불고기,320.6020427,80.30062435,50,20,80
48,쇠고기덮밥,320.552731,66.99764331,66.66666667,20,80
49,한우토마토스튜,318.8608056,85.89469397,41.66666667,20,80
50,버섯덮밥,318.8114939,72.59171292,58.33333333,20,80
51,곱창전골,317.1159658,64.93970011,66.66666667,20,80
52,버섯만두전골,315.1651603,77.04500614,50,20,80
53,떡갈비구이,315.1651603,77.04500614,50,20,80
54,갈비찜,315.1158486,63.7420251,66.66666667,20,80
55,똠얌꿍,313.5264975,60.04580688,25,80,20
56,떡만두국,311.4695149,68.19531832,58.33333333,20,80
57,제육보쌈,309.5187093,80.30062435,41.66666667,20,80
58,해물전골,309.5187093,80.30062435,41.66666667,20,80
59,쇠고기장조림,309.4693977,66.99764331,58.33333333,20,80
60,가지쇠고기볶음,306.0326325,64.93970011,58.33333333,20,80
61,모듬전,306.0326325,64.93970011,58.33333333,20,80
62,쇠고기산적,305.823064,71.45093653,50,20,80
63,오징어순대,305.823064,71.45093653,50,20,80
64,잡채,305.823064,71.45093653,50,20,80
65,쇠고기양송이볶음,304.0818269,77.04500614,41.66666667,20,80
66,바지락볶음,304.0818269,77.04500614,41.66666667,20,80
67,주먹밥,304.0325152,63.7420251,58.33333333,20,80
68,콩나물버섯덮밥,304.0325152,63.7420251,58.33333333,20,80
69,동래파전,304.0325152,63.7420251,58.33333333,20,80
70,애호박 구이,302.0817097,75.84733113,41.66666667,20,80
71,달래굴파전,302.0817097,75.84733113,41.66666667,20,80
72,만둣국,300.3861816,68.19531832,50,20,80
73,단호박 고등어조림,298.435376,80.30062435,33.33333333,20,80
74,해물밥전,298.3860643,66.99764331,50,20,80
75,화양적,298.3860643,66.99764331,50,20,80
76,새송이산적,297.6502623,66.5570433,50,20,80
77,해물잡채,296.6941389,85.89469397,25,20,80
78,양파전,296.6905363,59.34563049,58.33333333,20,80
79,알탕,296.6905363,59.34563049,58.33333333,20,80
80,순두부찌개,296.6905363,59.34563049,58.33333333,20,80
81,별미밥,296.5955156,59.28873188,58.33333333,20,80
82,미소된장국,295.8369872,56.09001228,16.66666667,80,20
83,간장떡볶이,294.9492992,64.93970011,50,20,80
84,돼지갈비찜,294.7397307,71.45093653,41.66666667,20,80
85,홍합꼬치구이,294.7397307,71.45093653,41.66666667,20,80
86,두부두루치기,294.7397307,71.45093653,41.66666667,20,80
87,동태찌개,294.7397307,71.45093653,41.66666667,20,80
88,불고기찹쌀구이,294.6940217,84.69701896,25,20,80
89,제육불고기,294.64471,71.39403791,41.66666667,20,80
90,상추미소국,293.8368699,54.89233728,16.66666667,80,20
91,버섯잡채,292.9984936,77.04500614,33.33333333,20,80
92,갈치무조림,292.9984936,77.04500614,33.33333333,20,80
93,콩비지동그랑땡,292.9948909,50.49594267,66.66666667,20,80
94,콩나물잡채,291.2536538,56.09001228,58.33333333,20,80
95,청국장찌개,291.2536538,56.09001228,58.33333333,20,80
96,꽁치간장구이,291.047688,89.15031218,16.66666667,20,80
97,쇠고기전골,291.0440853,62.60124871,50,20,80
98,참치주먹밥,289.3028483,68.19531832,41.66666667,20,80
99,돼지고기우엉말이조림,287.3520427,80.30062435,25,20,80
100,어묵닭고기조림,287.3520427,80.30062435,25,20,80
101,불고기낙지전골,287.34844,53.75156088,58.33333333,20,80
102,대대로닭칼국수,287.302731,66.99764331,41.66666667,20,80
103,부추잡채,287.302731,66.99764331,41.66666667,20,80
104,낙지연포탕,287.302731,66.99764331,41.66666667,20,80
105,해물국수,285.8167714,52.83439407,58.33333333,20,80
106,소꼬리찜,285.6072029,59.34563049,50,20,80
107,갈비구이,283.8659658,64.93970011,41.66666667,20,80
108,돼지갈비구이,283.8659658,64.93970011,41.66666667,20,80
109,오징어산적,283.6563973,71.45093653,33.33333333,20,80
110,북어해장국밥,283.6563973,71.45093653,33.33333333,20,80
111,바지락칼국수,283.6563973,71.45093653,33.33333333,20,80
112,왜된장국,282.7535366,54.89233728,8.333333333,80,20
113,고등어튀김케첩조림,281.9151603,77.04500614,25,20,80
114,홍차계란장조림,281.9151603,77.04500614,25,20,80
115,당근잎 감자전,281.9151603,77.04500614,25,20,80
116,국수전골,281.9115576,50.49594267,58.33333333,20,80
117,낙지전골,281.9115576,50.49594267,58.33333333,20,80
118,가지된장찜,281.8658486,63.7420251,41.66666667,20,80
119,삼색수제비,281.1300466,63.30142509,41.66666667,20,80
120,버섯매운탕,280.8593601,63.1393374,41.66666667,20,80
121,배추만두,280.1210088,42.78703124,66.66666667,20,80
122,해물찌개,279.960752,62.60124871,41.66666667,20,80
123,참치죽,279.915043,75.84733113,25,20,80
124,매운가지볶음,279.8657313,62.54435009,41.66666667,20,80
125,오징어삼겹살볶음,279.8657313,62.54435009,41.66666667,20,80
126,새송이쌈장구이,278.2195149,68.19531832,33.33333333,20,80
127,순대볶음,278.2195149,68.19531832,33.33333333,20,80
128,두부김치,278.2195149,68.19531832,33.33333333,20,80
129,명란젓찌개,278.2195149,68.19531832,33.33333333,20,80
130,오징어풋마늘산적,278.2195149,68.19531832,33.33333333,20,80
131,잔치국수,278.1702032,54.89233728,50,20,80
132,콩나물비빔밥,278.1702032,54.89233728,50,20,80
133,갈비떡볶이,278.1702032,54.89233728,50,20,80
134,버섯두부찌개,278.1702032,54.89233728,50,20,80
135,육회,277.4344012,54.45173726,50,20,80
136,감자수제비,276.4782778,73.78938793,25,20,80
137,토란닭고기찜,276.2193977,66.99764331,33.33333333,20,80
138,토마토미니새송이볶음,276.2193977,66.99764331,33.33333333,20,80
139,오징어볶음과소면,276.2193977,66.99764331,33.33333333,20,80
140,불고기,276.170086,53.69466227,50,20,80
141,오징어통구이,275.6931641,60.04580688,41.66666667,20,80
142,닭꼬치구이,274.7334381,52.83439407,50,20,80
143,미역수제비,274.7334381,52.83439407,50,20,80
144,김치적,274.5238696,59.34563049,41.66666667,20,80
145,고등어무조림,274.5238696,59.34563049,41.66666667,20,80
146,마른오징어조림,272.7826325,64.93970011,33.33333333,20,80
147,고등어양념구이,272.7826325,64.93970011,33.33333333,20,80
148,양배추말이찜,272.7333208,51.63671906,50,20,80
149,흑임자삼계죽,272.5237523,58.14795549,41.66666667,20,80
150,계란말이주먹밥,272.5237523,58.14795549,41.66666667,20,80
151,떡잡채,272.5237523,58.14795549,41.66666667,20,80
152,돼지고기김치찌개,272.5237523,58.14795549,41.66666667,20,80
153,감자조림,270.8318269,77.04500614,16.66666667,20,80
154,해물순두부찌개,270.8318269,77.04500614,16.66666667,20,80
155,계란찜,270.7825152,63.7420251,33.33333333,20,80
156,감자국수,270.7825152,63.7420251,33.33333333,20,80
157,낙지볶음,270.0467132,63.30142509,33.33333333,20,80
158,가지튀김,270.0467132,63.30142509,33.33333333,20,80
159,조기매운탕,270.0467132,63.30142509,33.33333333,20,80
160,콩비지찌개,269.0869872,56.09001228,41.66666667,20,80
161,해장라면,269.0869872,56.09001228,41.66666667,20,80
162,오징어섞어찌개,269.0869872,56.09001228,41.66666667,20,80
163,감자탕,269.0869872,56.09001228,41.66666667,20,80
164,김치주먹밥,269.0376755,42.78703124,58.33333333,20,80
165,닭고기콩나물덮밥,269.0376755,42.78703124,58.33333333,20,80
166,코다리찜,268.8774187,62.60124871,33.33333333,20,80
167,해물파전,268.8317097,75.84733113,16.66666667,20,80
168,해물볶음밥,267.1361816,68.19531832,25,20,80
169,꽃게찌개,267.0868699,54.89233728,41.66666667,20,80
170,꽃상추쌈,267.0375582,41.58935623,58.33333333,20,80
171,죽순볶음,265.3913418,47.24032446,50,20,80
172,쟁반라면,265.3913418,47.24032446,50,20,80
173,김치수제비,265.3913418,47.24032446,50,20,80
174,오징어찌개,265.3913418,47.24032446,50,20,80
175,감자고추채볶음,265.1360643,66.99764331,25,20,80
176,부추부침개,265.1360643,66.99764331,25,20,80
177,돌솥비빔밥,263.6007931,39.53141303,58.33333333,20,80
178,마파두부덮밥,263.5125743,75.40673112,58.33333333,20,20
179,돼지불고기,263.4405363,59.34563049,33.33333333,20,80
180,두부조림,263.4405363,59.34563049,33.33333333,20,80
181,코다리조림,263.4405363,59.34563049,33.33333333,20,80
182,참치김치찌개,263.4405363,59.34563049,33.33333333,20,80
183,고등어살튀김과소스,263.3948272,72.59171292,16.66666667,20,80
184,콩나물국밥,263.3912246,46.04264945,50,20,80
185,찬밥지짐이,261.6499875,51.63671906,41.66666667,20,80
186,계란말이,261.440419,58.14795549,33.33333333,20,80
187,삼겹살깻잎전,261.440419,58.14795549,33.33333333,20,80
188,아귀찜,261.440419,58.14795549,33.33333333,20,80
189,닭갈비,261.3453983,58.09105687,33.33333333,20,80
190,해물매운탕,260.704617,57.70735547,33.33333333,20,80
191,꽃게해물탕,260.704617,57.70735547,33.33333333,20,80
192,채소국수,259.9544594,43.98470625,50,20,80
193,나물비빔밥,259.9051478,30.68172521,66.66666667,20,80
194,김치동그랑땡,259.7448909,50.49594267,41.66666667,20,80
195,버섯청국장찌개,259.7448909,50.49594267,41.66666667,20,80
196,갈치조림,259.7448909,50.49594267,41.66666667,20,80
197,된장채소수제비,259.7448909,50.49594267,41.66666667,20,80
198,녹차콩국수,259.6991819,63.7420251,25,20,80
199,두부알찜,259.6991819,63.7420251,25,20,80
200,오색주먹밥도시락,259.6991819,63.7420251,25,20,80
201,찬밥전,259.6498702,50.43904406,41.66666667,20,80
202,조기찜,258.0036538,56.09001228,33.33333333,20,80
203,고등어된장조림,257.7940853,62.60124871,25,20,80
204,두부파프리카전,257.7483763,75.84733113,8.333333333,20,80
205,쌀국수,257.1159658,64.93970011,66.66666667,20,20
206,고구마강정,256.9632626,62.10375008,25,20,80
207,해파리해물냉채,256.0035366,54.89233728,33.33333333,20,80
208,잔멸치된장볶음,256.0035366,54.89233728,33.33333333,20,80
209,부대찌개,256.0035366,54.89233728,33.33333333,20,80
210,해물국시,256.0035366,54.89233728,33.33333333,20,80
211,꽁치무조림,256.0035366,54.89233728,33.33333333,20,80
212,고구마줄기볶음,256.0035366,54.89233728,33.33333333,20,80
213,불고기꽃만두,255.1651603,77.04500614,50,20,20
214,꽃만두국(완당국),255.1651603,77.04500614,50,20,20
215,가는파잡채,254.3080085,47.24032446,41.66666667,20,80
216,고등어조림,254.09844,53.75156088,33.33333333,20,80
