순위,이름,총점,맛,재료,카테고리,나라
0,크림소스파스타,489.9506244,89.15031218,75,80,80
1,토마토해산물스파게티,463.1846746,54.89233728,100,80,80
2,펠라레제 파스타,448.0406366,68.19531832,75,80,80
3,까르보나라 (한국식),441.5294002,64.93970011,75,80,80
4,그린파스타,429.186276,37.89313801,100,80,80
5,블랙스파게티,427.945911,58.14795549,75,80,80
6,푸타네스카스파게티,427.945911,58.14795549,75,80,80
7,버섯파스타,417.4787759,73.78938793,50,80,80
8,푸실리크림스파게티,393.2681638,61.6840819,50,80,80
9,불고기꽃만두,375.8575002,62.10375008,75,80,20
10,버섯만두전골,375.8575002,62.10375008,75,80,20
11,바지락칼국수,375.5333248,61.94166239,75,80,20
12,버섯 크림 리조또,374.7518731,71.45093653,75,20,80
13,볶음우동,372.6228138,60.48640689,75,80,20
14,쌀국수,368.9028309,58.62641545,75,80,20
15,새우도리아,368.2406366,68.19531832,75,20,80
16,딤섬,361.5946623,75.84733113,50,80,20
17,잡채,360.5534745,54.45173726,75,80,20
18,바질페스토 스파게티,359.3340502,63.7420251,75,20,80
19,해물스파게티,359.0393245,53.69466227,75,80,20
20,감자국수,357.7146917,53.03234584,75,80,20
21,삼색수제비,351.2034553,49.77672763,75,80,20
22,닭가슴살 샤프란 리조또,350.541261,59.34563049,75,20,80
23,가지그라탕,350.4274638,59.28873188,75,20,80
24,해물잡채,345.1356517,46.74282583,75,80,20
25,감자그라탕,341.6346746,54.89233728,75,20,80
26,단호박주뻬따,340.4292992,54.28964958,75,20,80
27,한우토마토스튜,340.2028502,63.30142509,100,20,20
28,일본풍버섯스파게티,337.3840502,63.7420251,50,80,20
29,떡만두국,333.7833248,61.94166239,50,80,20
30,시금치들깨수제비,333.6640673,61.88203366,50,80,20
31,돈까스,332.4512487,80.30062435,75,20,20
32,고추장스파게티,331.2279871,39.78899353,75,80,20
33,된장채소수제비,331.1087296,39.7293648,75,80,20
34,감자수제비,329.5481809,59.82409046,50,80,20
35,기스면,328.4774638,59.28873188,50,80,20
36,고추잡채와꽃빵,328.4774638,59.28873188,50,80,20
37,꽃만두국(완당국),327.5962637,58.84813187,50,80,20
38,만둣국,327.2720884,58.68604418,50,80,20
39,구운감자와도미구이,326.3306489,47.24032446,75,20,80
40,짜춘권,325.9400123,77.04500614,75,20,20
41,미역수제비,323.8762809,56.98814043,50,80,20
42,해물국수,323.8762809,56.98814043,50,80,20
43,잔치국수,323.5521055,56.82605275,50,80,20
44,비빔쌀국수,323.3921178,35.87105889,75,80,20
45,해산물샐러드,321.2914934,44.72074671,75,20,80
46,시칠리아식카포나타,319.9415311,23.17076554,100,20,80
47,갈비구이,319.4287759,73.78938793,75,20,20
48,버섯매운탕,316.8808814,32.61544068,75,80,20
49,대대로닭칼국수,316.0839491,53.09197457,50,80,20
50,국수계란말이,315.9646917,53.03234584,50,80,20
51,녹차콩국수,315.9646917,53.03234584,50,80,20
52,쟁반라면,315.8101642,32.08008209,75,80,20
53,콩 햄버그,314.6380758,71.39403791,75,20,20
54,브루스케타,313.8233371,40.98666853,75,20,80
55,서리태콩국수,309.5727127,49.83635636,50,80,20
56,물만두,309.5727127,49.83635636,50,80,20
57,깐풍새우,308.2406366,68.19531832,75,20,20
58,바베큐립,308.2406366,68.19531832,75,20,20
59,생선탕수,308.2406366,68.19531832,75,20,20
60,김치수제비,306.8981175,27.62405876,75,80,20
61,채소국수,306.1769052,48.13845261,50,80,20
62,해물국시,305.8527298,47.97636492,50,80,20
63,난자완스,305.8452866,66.99764331,75,20,20
64,중국식볶음밥,305.8452866,66.99764331,75,20,20
65,오징어통구이,301.8893879,85.89469397,50,20,20
