순위,이름,총점,맛,재료,카테고리,나라
0,크림소스파스타,488.63102133458835,89.1503121764002,75.0,80.0,80.0
1,토마토해산물스파게티,464.6702032496893,54.89233727526306,100.0,80.0,80.0
2,펠라레제 파스타,453.63618159124866,68.19531831811297,75.0,80.0,80.0
3,까르보나라 (한국식),448.1992991787323,64.93970010702535,75.0,80.0,80.0
4,블랙스파게티,436.85708566220563,58.147955486350675,75.0,80.0,80.0
5,푸타네스카스파게티,436.85708566220563,58.147955486350675,75.0,80.0,80.0
6,그린파스타,436.2815404743916,37.89313800861772,100.0,80.0,80.0
7,버섯파스타,429.728277844144,73.78938793062514,50.0,80.0,80.0
8,푸실리크림스파게티,409.512416766216,61.684081895937744,50.0,80.0,80.0
9,불고기꽃만두,383.4632626302476,62.10375007799257,75.0,80.0,20.0
10,버섯만두전골,383.4632626302476,62.10375007799257,75.0,80.0,20.0
11,바지락칼국수,383.1925761938676,61.94166239153749,75.0,80.0,20.0
12,볶음우동,380.76229950258465,60.486406887775246,75.0,80.0,20.0
13,쌀국수,377.65611380640314,58.62641545293601,75.0,80.0,20.0
14,딤섬,373.165042993029,75.8473311335503,50.0,80.0,20.0
15,잡채,370.68440122846727,54.45173726255524,75.0,80.0,20.0
16,해물스파게티,369.420085986058,53.69466226710058,75.0,80.0,20.0
17,감자국수,368.31401755350777,53.03234584042381,75.0,80.0,20.0
18,삼색수제비,362.8771351409914,49.77672762933619,75.0,80.0,20.0
19,해물잡채,357.81051913980326,46.742825832217534,75.0,80.0,20.0
20,일본풍버섯스파게티,352.94918191510095,63.742025098862854,50.0,80.0,20.0
21,떡만두국,349.9425761938676,61.94166239153749,50.0,80.0,20.0
22,시금치들깨수제비,349.84299621891944,61.88203366402362,50.0,80.0,20.0
23,감자수제비,346.40623107003444,59.82409046109848,50.0,80.0,20.0
24,고추장스파게티,346.1976191868966,39.788993525087776,75.0,80.0,20.0
25,된장채소수제비,346.0980392119484,39.72936479757391,75.0,80.0,20.0
26,기스면,345.5121822389533,59.288731879612754,50.0,80.0,20.0
27,고추잡채와꽃빵,345.5121822389533,59.28873187961277,50.0,80.0,20.0
28,꽃만두국(완당국),344.7763802177313,58.84813186690496,50.0,80.0,20.0
29,만둣국,344.5056937813513,58.686044180449876,50.0,80.0,20.0
30,해물국수,341.6701945215498,56.98814043206572,50.0,80.0,20.0
31,미역수제비,341.6701945215498,56.98814043206572,50.0,80.0,20.0
32,잔치국수,341.39950808516977,56.82605274561064,50.0,80.0,20.0
33,비빔쌀국수,339.6546683418301,35.87105888732339,75.0,80.0,20.0
34,버섯 크림 리조또,339.07306400376496,71.45093652920058,75.0,20.0,80.0
35,대대로닭칼국수,335.1635975284559,53.09197456793768,50.0,80.0,20.0
36,국수계란말이,335.06401755350777,53.03234584042381,50.0,80.0,20.0
37,녹차콩국수,335.06401755350777,53.03234584042381,50.0,80.0,20.0
38,버섯매운탕,334.2177859293138,32.61544067623578,75.0,80.0,20.0
39,새우도리아,333.63618159124866,68.19531831811297,75.0,20.0,80.0
40,쟁반라면,333.32373709823264,32.08008209475007,75.0,80.0,20.0
41,서리태콩국수,329.7267151159396,49.83635635685007,50.0,80.0,20.0
42,물만두,329.7267151159396,49.83635635685007,50.0,80.0,20.0
43,채소국수,326.89121585613805,48.1384526084659,50.0,80.0,20.0
44,해물국시,326.62052941975804,47.976364922010816,50.0,80.0,20.0
45,바질페스토 스파게티,326.199181915101,63.74202509886286,75.0,20.0,80.0
46,김치수제비,325.8821781340204,27.624058762886484,75.0,80.0,20.0
47,녹차수제비,322.1901354648438,45.3234344100861,50.0,80.0,20.0
48,닭가슴살 샤프란 리조또,318.857202925837,59.34563049451316,75.0,20.0,80.0
49,가지그라탕,318.7621822389533,59.28873187961277,75.0,20.0,80.0
