순위,이름,총점,맛,재료,카테고리,나라
0,돌솥비빔밥,455.723064,71.45093653,75,80,80
1,상추겉절이비빔밥,440.5020427,80.30062435,60,80,80
2,별미밥,395.5072029,59.34563049,55,80,80
3,열무비빔밥,385.723064,71.45093653,40,80,80
4,모듬쌈밥,380.9440853,62.60124871,45,80,80
5,콩나물무밥,376.1651067,53.75156088,50,80,80
6,김치주먹밥,376.1651067,53.75156088,50,80,80
7,버섯덮밥,373.2912246,46.04264945,55,80,80
8,꽃상추쌈,370.9440853,62.60124871,40,80,80
9,영양채소밥,365.5072029,59.34563049,40,80,80
10,닭고기콩나물덮밥,361.386128,44.90187306,50,80,80
11,가지무침과 호박잎쌈밥,356.1651067,53.75156088,40,80,80
12,콩나물국밥,355.2913418,47.24032446,45,80,80
13,김치채소쌈,350.7282243,50.49594267,40,80,80
14,충무김밥,345.5072029,59.34563049,30,80,80
15,콩나물비빔밥,345.5072029,59.34563049,30,80,80
16,콩나물밥,340.9440853,62.60124871,25,80,80
17,콩나물버섯덮밥,335.7333845,29.54094881,50,80,80
18,사색나물,331.1440853,62.60124871,60,20,80
19,배추만두,331.1440853,62.60124871,60,20,80
20,콩나물잡채,328.928107,49.29826766,70,20,80
21,해물밥전,326.2962676,23.88998059,50,80,80
22,시금치된장죽,325.723064,71.45093653,10,80,80
23,시금치표고된장무른밥,320.7282243,50.49594267,25,80,80
24,오곡밥쌈밥정식,320.5123632,38.39063664,35,80,80
25,비빔쌀국수,320.4861816,68.19531832,50,20,80
26,채소영양밥,316.1651067,53.75156088,20,80,80
27,양송이버섯죽,315.9492456,41.64625485,30,80,80
28,계란말이주먹밥,315.7333845,29.54094881,40,80,80
29,초교탕,310.9282243,50.49594267,60,20,80
30,북어해장국밥,309.1701497,31.59889202,35,80,80
31,찬밥맛탕,303.2912246,46.04264945,20,80,80
32,영양돌솥밥,301.386128,44.90187306,20,80,80
33,녹차수제비,301.1440853,62.60124871,45,20,80
34,오곡주먹밥,300.7282243,50.49594267,15,80,80
35,김치쌈밥,300.7282243,50.49594267,15,80,80
36,잡채밥,300.5123632,38.39063664,55,80,20
37,쇠고기덮밥,300.2965021,26.2853306,35,80,80
38,캘리포니아롤,300.2861816,68.19531832,30,80,20
39,낙지전골,292.7554226,45.60204944,55,20,80
40,채소국수,291.1440853,62.60124871,40,20,80
41,찰밥주먹밥,290.7282243,50.49594267,10,80,80
42,상추 치커리 오징어 초침무,288.4860643,66.99764331,35,20,80
43,양배추말이찜,286.3651067,53.75156088,45,20,80
44,채소수프,286.1651067,53.75156088,35,80,20
45,주먹밥,286.1492456,41.64625485,55,20,80
46,오이나물,285.923064,71.45093653,30,20,80
47,흑임자삼계죽,285.7333845,29.54094881,25,80,80
48,닭고기수삼샐러드,285.7072029,59.34563049,40,20,80
49,시래기돼지갈비찜,285.4913418,47.24032446,50,20,80
50,김치수제비,285.4913418,47.24032446,50,20,80
51,불고기낙지전골,285.3184229,41.14875622,55,20,80
52,오징어덮밥,285.0754808,35.13501843,20,80,80
53,참치죽,283.7332673,28.3432738,25,80,80
54,중국식볶음밥,282.5554226,45.60204944,40,80,20
55,버섯만두전골,282.5395615,33.4967434,60,20,80
56,모듬전,280.5394442,32.2990684,60,20,80
57,배추겉절이,280.4861816,68.19531832,30,20,80
58,버섯잡채밥,280.2965021,26.2853306,55,80,20
59,카레토마토달걀볶음밥,280.0703205,56.09001228,30,80,20
60,돈까스덮밥,280.0687578,32.13698071,50,80,20
61,버섯두부찌개,278.0543422,42.78703124,50,20,80
62,한우토마토스튜,278.0543422,42.78703124,50,20,80
63,얼갈이열무물김치,277.2637148,54.28964958,40,20,80
64,새우겨자채,276.605811,59.88371919,35,20,80
65,김치볶음밥,276.2962676,23.88998059,25,80,80
66,채소스프,276.1651067,53.75156088,30,80,20
67,쇠고기산적,276.0542249,41.58935623,50,20,80
68,봄동바지락볶음,275.923064,71.45093653,25,20,80
69,봄동겉절이,275.7072029,59.34563049,35,20,80
70,잔치국수,275.7072029,59.34563049,35,20,80
71,생굴채소무침,275.7072029,59.34563049,35,20,80
72,누드김밥,275.5072029,59.34563049,25,80,20
73,가지된장찜,275.4913418,47.24032446,45,20,80
74,잣죽,275.2913418,47.24032446,5,80,80
75,녹두죽,275.2913418,47.24032446,5,80,80
76,해물볶음밥,275.0754808,35.13501843,15,80,80
77,돛나물 부추 오이무침,275.0492992,64.93970011,30,20,80
78,열무김치냉면,272.8333208,51.63671906,40,20,80
79,아구탕,272.268875,33.33465572,55,20,80
80,오이동치미,272.0975188,51.19611905,40,20,80
81,낙지불고기,271.2752462,32.73966841,55,20,80
82,죽순회와미나리강회,271.1440853,62.60124871,30,20,80
83,해파리해물냉채,270.9282243,50.49594267,40,20,80
84,배추속댓국,270.9282243,50.49594267,40,20,80
85,미역수제비,270.9282243,50.49594267,40,20,80
86,호박죽,270.5553053,44.40437443,5,80,80
87,찰밥,270.5123632,38.39063664,10,80,80
88,마늘볶음국수,270.5123632,38.39063664,40,80,20
89,가는파잡채,270.4861816,68.19531832,25,20,80
90,두부두루치기,268.0543422,42.78703124,45,20,80
91,북어국,267.9216185,48.69557996,40,20,80
92,전어회무침,265.4913418,47.24032446,40,20,80
93,콩비지동그랑땡,263.4912246,46.04264945,40,20,80
94,골뱅이무침,262.8333208,51.63671906,35,20,80
95,국수전골,262.7554226,45.60204944,40,20,80
96,돈부리,261.0752462,32.73966841,40,80,20
97,찬밥전,260.9282243,50.49594267,35,20,80
98,해물국수,260.9282243,50.49594267,35,20,80
99,전복죽,260.5123632,38.39063664,5,80,80
100,파프리카볶음밥,260.5123632,38.39063664,35,80,20
101,된장찌개,258.928107,49.29826766,35,20,80
102,흑임자죽,258.5122459,37.19296163,5,80,80
103,버섯청국장찌개,258.0543422,42.78703124,40,20,80
104,우거지된장찌개,258.0543422,42.78703124,40,20,80
105,해물전골,257.9764439,36.75236162,45,20,80
106,제육보쌈,257.7605828,24.64705558,55,20,80
