순위,이름,총점,맛,재료,카테고리,나라
0,곰탕,440.8490647,62.54435009,75,80,80
1,사골우거지탕,439.0563973,71.45093653,66.66666667,80,80
2,떡국,433.6195149,68.19531832,66.66666667,80,80
3,쇠고기무국,431.7318269,77.04500614,58.33333333,80,80
4,닭개장,429.7317097,75.84733113,58.33333333,80,80
5,사골탕,424.182398,62.54435009,66.66666667,80,80
6,도가니탕,411.5159658,64.93970011,58.33333333,80,80
7,초교탕,403.9665369,50.43904406,66.66666667,80,80
8,토란곰탕,400.1737523,58.14795549,58.33333333,80,80
9,선지국,398.3984936,77.04500614,41.66666667,80,80
10,갈비탕,398.2860643,66.99764331,50,80,80
11,근대된장국,394.7368699,54.89233728,58.33333333,80,80
12,맑은떡국,392.8491819,63.7420251,50,80,80
13,꼬리곰탕,392.1133799,63.30142509,50,80,80
14,아구탕,390.9440853,62.60124871,50,80,80
15,설렁탕,390.8490647,62.54435009,50,80,80
16,두부국,385.5072029,59.34563049,50,80,80
17,배추속댓국,381.9580085,47.24032446,58.33333333,80,80
18,무맑은국,376.1825152,63.7420251,41.66666667,80,80
19,생태매운탕,375.1760268,63.1393374,41.66666667,80,80
20,북어국,365.2913418,47.24032446,50,80,80
21,대구탕,365.0651603,77.04500614,25,80,80
22,두부조개탕,364.952731,66.99764331,33.33333333,80,80
23,삼계탕,361.4035366,54.89233728,41.66666667,80,80
24,홍합탕,361.4035366,54.89233728,41.66666667,80,80
25,쇠고기덮밥,351.8193977,66.99764331,66.66666667,20,80
26,곱창전골,348.3826325,64.93970011,66.66666667,20,80
27,맑은대구탕,348.2860643,66.99764331,25,80,80
28,조개맑은국,346.7369872,56.09001228,33.33333333,80,80
29,갈비찜,346.3825152,63.7420251,66.66666667,20,80
30,버섯덮밥,344.4948272,72.59171292,58.33333333,20,80
31,찬코나베,343.835376,80.30062435,41.66666667,80,20
32,쇠고기완자찜,340.7020427,80.30062435,50,20,80
33,낙지불고기,340.7020427,80.30062435,50,20,80
34,잉어찜,338.8143547,89.15031218,41.66666667,20,80
35,미역냉국,338.0313797,40.89703375,41.66666667,80,80
36,어묵꼬치,337.4122995,60.48640689,25,80,80
37,호박양파국,337.2998702,50.43904406,33.33333333,80,80
38,떡만두국,337.1528483,68.19531832,58.33333333,20,80
39,생태국,335.5072029,59.34563049,25,80,80
40,버섯만두전골,335.2651603,77.04500614,50,20,80
41,떡갈비구이,335.2651603,77.04500614,50,20,80
42,쇠고기장조림,335.152731,66.99764331,58.33333333,20,80
43,한우토마토스튜,333.3774723,85.89469397,41.66666667,20,80
44,모듬전,331.7159658,64.93970011,58.33333333,20,80
45,가지쇠고기볶음,331.7159658,64.93970011,58.33333333,20,80
46,어묵국,330.0703205,56.09001228,25,80,80
47,아욱국,329.9578913,46.04264945,33.33333333,80,80
48,주먹밥,329.7158486,63.7420251,58.33333333,20,80
49,동래파전,329.7158486,63.7420251,58.33333333,20,80
50,콩나물버섯덮밥,329.7158486,63.7420251,58.33333333,20,80
51,미역국,328.0702032,54.89233728,25,80,80
52,잡채,325.923064,71.45093653,50,20,80
53,쇠고기산적,325.923064,71.45093653,50,20,80
54,오징어순대,325.923064,71.45093653,50,20,80
55,양배춧국,324.5210088,42.78703124,33.33333333,80,80
56,콩비지동그랑땡,324.2615576,50.49594267,66.66666667,20,80
57,제육보쌈,324.035376,80.30062435,41.66666667,20,80
58,해물전골,324.035376,80.30062435,41.66666667,20,80
59,시금치된장국,322.6333208,51.63671906,25,80,80
60,알탕,322.3738696,59.34563049,58.33333333,20,80
61,순두부찌개,322.3738696,59.34563049,58.33333333,20,80
62,양파전,322.3738696,59.34563049,58.33333333,20,80
63,별미밥,322.2788489,59.28873188,58.33333333,20,80
64,만둣국,320.4861816,68.19531832,50,20,80
65,바지락볶음,318.5984936,77.04500614,41.66666667,20,80
66,쇠고기양송이볶음,318.5984936,77.04500614,41.66666667,20,80
67,해물밥전,318.4860643,66.99764331,50,20,80
68,화양적,318.4860643,66.99764331,50,20,80
69,새송이산적,317.7502623,66.5570433,50,20,80
70,청국장찌개,316.9369872,56.09001228,58.33333333,20,80
71,콩나물잡채,316.9369872,56.09001228,58.33333333,20,80
72,애호박 구이,316.5983763,75.84733113,41.66666667,20,80
73,달래굴파전,316.5983763,75.84733113,41.66666667,20,80
74,간장떡볶이,315.0492992,64.93970011,50,20,80
75,다시마냉국,313.205388,36.01121039,33.33333333,80,80
76,불고기낙지전골,313.0317733,53.75156088,58.33333333,20,80
77,유부미역된장국,311.5159658,64.93970011,8.333333333,80,80
78,해물국수,311.5001048,52.83439407,58.33333333,20,80
79,배추만두,311.3876755,42.78703124,66.66666667,20,80
80,쇠고기전골,311.1440853,62.60124871,50,20,80
81,김치홍합국,309.7420302,33.93734342,33.33333333,80,80
82,오이냉국,309.692827,23.92784054,41.66666667,80,80
83,재첩국,309.5158486,63.7420251,8.333333333,80,80
84,두부두루치기,309.2563973,71.45093653,41.66666667,20,80
85,돼지갈비찜,309.2563973,71.45093653,41.66666667,20,80
86,동태찌개,309.2563973,71.45093653,41.66666667,20,80
87,홍합꼬치구이,309.2563973,71.45093653,41.66666667,20,80
88,제육불고기,309.1613767,71.39403791,41.66666667,20,80
89,우무콩냉국,308.7800466,63.30142509,8.333333333,80,80
90,낙지전골,307.5948909,50.49594267,58.33333333,20,80
91,국수전골,307.5948909,50.49594267,58.33333333,20,80
92,단호박 고등어조림,307.3687093,80.30062435,33.33333333,20,80
93,소꼬리찜,305.7072029,59.34563049,50,20,80
94,참치주먹밥,303.8195149,68.19531832,41.66666667,20,80
95,버섯잡채,301.9318269,77.04500614,33.33333333,20,80
96,갈치무조림,301.9318269,77.04500614,33.33333333,20,80
97,부추잡채,301.8193977,66.99764331,41.66666667,20,80
