순위,이름,총점,맛,재료,카테고리,나라
0,라조육,504.89224129565923,70.95343790159237,100.0,80.0,80.0
1,짜춘권,450.2861815912487,68.19531831811297,75.0,80.0,80.0
2,치즈돈까스,437.5502623063952,66.55704329724267,100.0,80.0,20.0
3,탕수육,418.8909130947176,49.39575634414225,75.0,80.0,80.0
4,생선탕수,417.8972842886883,48.800769035142665,75.0,80.0,80.0
5,깐풍기,404.52197488433114,70.73172148762343,50.0,80.0,80.0
6,라조기,389.8425761938676,61.94166239153749,50.0,80.0,80.0
7,닭날개튀김,387.1799958950671,66.33532688327374,75.0,80.0,20.0
8,깐풍새우,386.4058110449826,59.883719188612346,50.0,80.0,80.0
9,딤섬,377.82816058051264,72.59171292246266,75.0,20.0,80.0
10,난자완스,377.09235855929063,72.15111290975486,75.0,20.0,80.0
11,오징어탕수,377.06371479208724,54.28964957610016,50.0,80.0,80.0
12,돼지고기표고볶음,373.81506640167726,70.1886625159744,75.0,20.0,80.0
13,가지튀김,373.57031178518105,58.18581544022818,75.0,80.0,20.0
14,돈까스,365.3342839648359,53.254062254392764,75.0,80.0,20.0
15,장어깐풍기,363.19620389739396,45.98575083676287,50.0,80.0,80.0
16,중국식볶음밥,361.9431134825508,63.07970867218611,75.0,20.0,80.0
17,물만두,358.93650776131744,61.27934596486073,75.0,20.0,80.0
18,오향장육,353.7070856622056,58.14795548635066,75.0,20.0,80.0
19,콩 햄버그,344.89224129565923,70.95343790159237,50.0,80.0,20.0
20,잡채밥,344.0579491209576,52.37002941374704,75.0,20.0,80.0
21,닭고기명란튀김,337.1799958950671,66.33532688327374,50.0,80.0,20.0
22,닭고기카레튀김,337.1799958950671,66.33532688327374,50.0,80.0,20.0
23,삼겹살깻잎전,337.16413481713914,54.23002084858629,100.0,20.0,20.0
24,제육배추찜,334.0213156954218,52.34809323079148,100.0,20.0,20.0
25,짬뽕해물탕밥,332.389715439792,45.38306313759997,75.0,20.0,80.0
26,삼겹살채소말이,328.9546996942336,49.31419143367282,100.0,20.0,20.0
27,양상추튀김,324.25600369675306,58.596409399253304,50.0,80.0,20.0
28,두부탕,323.94953943757326,70.26918529196004,50.0,20.0,80.0
29,제육불고기,323.9247171185812,46.30222581950971,100.0,20.0,20.0
30,꽃만두국(완당국),323.8150664016772,70.1886625159744,50.0,20.0,80.0
31,돼지고기우엉말이조림,323.55445070725307,46.08050940554077,100.0,20.0,20.0
32,삼겹살치즈구이,322.1589745604788,75.18501470687353,75.0,20.0,20.0
33,마파두부덮밥,321.5760151444524,38.90779349967214,75.0,20.0,80.0
34,버섯만두전골,314.08575283805726,70.35075020242948,75.0,20.0,20.0
35,떡만두국,313.9861728631091,70.29112147491561,75.0,20.0,20.0
36,양장피,313.70885604065325,34.1969197848223,75.0,20.0,80.0
37,해물국수,313.5426396007093,70.02553269503552,75.0,20.0,20.0
38,김치채소볶음,310.8814624191797,32.503869712083656,75.0,20.0,80.0
39,기스면,309.2071941976974,61.44143365131581,50.0,20.0,80.0
40,치킨수프,309.0360877362656,61.33897469237459,50.0,20.0,80.0
41,버섯잡채밥,308.93650776131744,61.27934596486073,50.0,20.0,80.0
42,김치찌개,305.768866320608,35.430458874615574,100.0,20.0,20.0
43,부추표고버섯볶음,303.7258069400497,28.21904607188607,75.0,20.0,80.0
44,콩비지찌개,301.906480057015,63.05777248923053,75.0,20.0,20.0
45,단호박튀김,300.58189799686386,44.4202982017149,50.0,80.0,20.0
46,돼지갈비찜,300.3132626302476,62.10375007799257,75.0,20.0,20.0
47,펠라레제 파스타,300.3132626302476,62.10375007799257,75.0,20.0,20.0
48,제육보쌈,299.3067741726456,61.50106237882967,75.0,20.0,20.0
49,토란닭고기찜,299.0360877362656,61.33897469237459,75.0,20.0,20.0
50,콩나물무밥,298.76366093529765,61.175844871435714,75.0,20.0,20.0
51,배추만두,298.7501842511834,61.1677750007086,75.0,20.0,20.0
52,고추부각,293.329162916595,70.0174628243084,25.0,80.0,20.0
53,가지된장찜,293.31330183866703,57.91215678962097,75.0,20.0,20.0
54,닭꼬치구이,292.5059965427718,57.428740444773524,75.0,20.0,20.0
55,버섯두부찌개,291.73356109601394,56.96620424911013,75.0,20.0,20.0
56,제육겨자쌈,291.3632946846858,56.7444878351412,75.0,20.0,20.0
57,류산슬,289.8267151159396,49.83635635685007,50.0,20.0,80.0
58,닭다리굴소스볶음,289.8267151159396,49.83635635685007,50.0,20.0,80.0
59,고추장닭강정,289.3112740630635,37.67142159464878,50.0,80.0,20.0
60,돈까스덮밥,287.5344012284673,54.45173726255524,75.0,20.0,20.0
61,김치어묵,286.1684549413461,35.78949397685396,50.0,80.0,20.0
62,낙지불고기,285.26359752845593,53.09197456793768,75.0,20.0,20.0
63,부추잡채,284.2571090708539,52.489286868774784,75.0,20.0,20.0
64,순두부찌개,284.12089567037,52.40772195830535,75.0,20.0,20.0
65,감자탕,282.833320837173,51.63671906417545,75.0,20.0,20.0
66,닭강정,281.1384723656937,32.77752836269086,50.0,80.0,20.0
67,아게다시도후,280.1132626302476,62.10375007799257,25.0,80.0,20.0
68,오징어삼겹살볶음,280.09740155231964,49.99844404330515,75.0,20.0,20.0
69,볶음쌀국수,278.9913331197694,49.33612761662838,75.0,20.0,20.0
70,돼지갈비구이,278.0972842886883,48.800769035142665,75.0,20.0,20.0
71,고추잡채와꽃빵,274.7219748843311,70.73172148762342,25.0,20.0,80.0
72,돼지불고기,274.3898327034233,46.58073814576245,75.0,20.0,20.0
73,해산물두부수프,274.3564392744372,70.51283788888456,25.0,20.0,80.0
74,갈비구이,273.396203897394,45.98575083676287,75.0,20.0,20.0
75,죽순볶음,273.1841842959249,45.85879299157182,75.0,20.0,20.0
76,양파쌈파이,273.113301838667,57.91215678962097,25.0,80.0,20.0
77,삼계탕,272.52924097180687,75.40673112084247,50.0,20.0,20.0
78,꼬리곰탕,272.2585545354269,75.2446434343874,50.0,20.0,20.0
79,닭개장,271.6539134185699,44.94246312489216,75.0,20.0,20.0
80,쇠고기산적,270.01950327820214,43.96377441808514,75.0,20.0,20.0
81,가는파잡채,269.24233703001005,43.49840540719167,75.0,20.0,20.0
82,가니타마돈,267.82816058051264,72.59171292246266,50.0,20.0,20.0
83,고등어살튀김과소스,265.3342839648359,53.254062254392764,25.0,80.0,20.0
84,도가니탕,265.0922412956593,70.95343790159237,50.0,20.0,20.0
85,모듬전,264.8215548592792,70.79135021513729,50.0,20.0,20.0
86,소꼬리찜,264.7219748843311,70.73172148762342,50.0,20.0,20.0
87,해물볶음밥,264.08575283805726,70.35075020242948,50.0,20.0,20.0
88,돈부리,264.08575283805726,70.35075020242948,50.0,20.0,20.0
89,불고기꽃만두,264.08575283805726,70.35075020242948,50.0,20.0,20.0
90,해물전골,264.08575283805726,70.35075020242948,50.0,20.0,20.0
91,쇠고기무국,264.08575283805726,70.35075020242948,50.0,20.0,20.0
92,양파전,263.98617286310906,70.29112147491561,50.0,20.0,20.0
93,롤케비지(양배추말이),263.7553445078437,40.21278114242136,75.0,20.0,20.0
94,만둣국,263.71548642672906,70.12903378846053,50.0,20.0,20.0
95,두부국,263.71548642672906,70.12903378846053,50.0,20.0,20.0
96,참치주먹밥,263.71548642672906,70.12903378846053,50.0,20.0,20.0
97,오징어풋마늘산적,263.71548642672906,70.12903378846053,50.0,20.0,20.0
98,쌀국수,263.67885300119326,70.10709760550496,50.0,20.0,20.0
99,가지말이구이,263.665376317079,70.09902773477783,50.0,20.0,20.0
100,미역수제비,263.5426396007093,70.02553269503552,50.0,20.0,20.0
101,잔치국수,263.52916291659506,70.0174628243084,50.0,20.0,20.0
102,누드김밥,263.52916291659506,70.0174628243084,50.0,20.0,20.0
103,콩나물비빔밥,263.52916291659506,70.0174628243084,50.0,20.0,20.0
104,고등어 다쓰타튀김,258.6330863099103,49.24136904785048,25.0,80.0,20.0
105,닭갈비,257.1456211895382,36.25486298774743,75.0,20.0,20.0
106,누룽지탕,253.36341194831712,57.94216284330366,25.0,20.0,80.0
107,새우도리아,252.31337989387893,63.30142508615505,50.0,20.0,20.0
108,사골탕,252.31337989387893,63.30142508615505,50.0,20.0,20.0
109,설렁탕,252.31337989387893,63.30142508615505,50.0,20.0,20.0
110,갈비탕,252.31337989387893,63.30142508615505,50.0,20.0,20.0
111,안심스테이크,252.31337989387893,63.30142508615505,50.0,20.0,20.0
112,곰탕,252.04269345749893,63.13933739969997,50.0,20.0,20.0
113,불고기낙지전골,250.31326263024758,62.10375007799257,50.0,20.0,20.0
114,두부스테이크,250.31326263024758,62.10375007799257,50.0,20.0,20.0
115,쇠고기전골,250.31326263024758,62.10375007799257,50.0,20.0,20.0
116,오징어통구이,250.04257619386763,61.9416623915375,50.0,20.0,20.0
117,동래파전,250.0425761938676,61.94166239153749,50.0,20.0,20.0
118,콩비지동그랑땡,250.0425761938676,61.94166239153749,50.0,20.0,20.0
119,생선전,250.0425761938676,61.94166239153749,50.0,20.0,20.0
120,오코노미야키,250.0425761938676,61.94166239153749,50.0,20.0,20.0
121,낙지전골,249.94299621891943,61.88203366402362,50.0,20.0,20.0
122,국수전골,249.94299621891943,61.88203366402362,50.0,20.0,20.0
123,사골우거지탕,249.94299621891943,61.88203366402362,50.0,20.0,20.0
124,가지쇠고기볶음,249.94299621891943,61.88203366402362,50.0,20.0,20.0
